path,kind,tracked/untracked/generated,current thesis role,category,evidence,recommended action,risk if removed,notes
archive/visibility_legacy/showcase_yolo_gp_performance.py,file,tracked,historical code or aliases preserved only for older notes/manifests,Legacy Compatibility,archive subtree explicitly excluded from active thesis path,keep archived or move outside active repo root,low,
archive/visualization/README.md,file,tracked,historical code or aliases preserved only for older notes/manifests,Legacy Compatibility,archive subtree explicitly excluded from active thesis path,keep archived or move outside active repo root,low,
code_review.txt,file,tracked,"internal review memo, not part of thesis runtime or paper surface",Possibly Irrelevant,standalone note file outside docs/src structure,move to docs/internal or remove after cleanup decisions land,low,useful as temporary cleanup input only
docs/README.md,file,tracked (locally modified),docs entry point for active milestone,Docs Drift / Story Drift,docs/README references tracked figures currently deleted in working tree and meeting files outside git surface,repair links/figures or narrow the docs surface,high,working tree modified
docs/architecture_overview.md,file,tracked,canonical package map and reading order for the active comparison,Paper-Core,docs/README + architecture_overview align with active source tree,keep,medium,
docs/evaluation_and_plots.md,file,tracked,current evaluation/reporting guidance for milestone-grade comparison,Paper-Core but Simplify,evaluation doc matches active logger/scripts but still frames a broader evaluator than the paper currently uses,"keep, but tighten to current thesis outputs",medium,
docs/figures/README.md,file,tracked (locally deleted),documentation figure asset or figure metadata,"Tracked Artifact, Not Source",docs/README and package docs embed these figures,either keep and restore consistently or remove figure references everywhere,medium,working tree deleted
docs/figures/figure_sources.json,file,tracked (locally deleted),documentation figure asset or figure metadata,"Tracked Artifact, Not Source",docs/README and package docs embed these figures,either keep and restore consistently or remove figure references everywhere,medium,working tree deleted
docs/figures/observation_model_tutorial.png,file,tracked (locally deleted),documentation figure asset or figure metadata,"Tracked Artifact, Not Source",docs/README and package docs embed these figures,either keep and restore consistently or remove figure references everywhere,medium,working tree deleted
docs/figures/planner_field_story.png,file,tracked (locally deleted),documentation figure asset or figure metadata,"Tracked Artifact, Not Source",docs/README and package docs embed these figures,either keep and restore consistently or remove figure references everywhere,medium,working tree deleted
docs/figures/planner_run_timeseries.png,file,tracked (locally deleted),documentation figure asset or figure metadata,"Tracked Artifact, Not Source",docs/README and package docs embed these figures,either keep and restore consistently or remove figure references everywhere,medium,working tree deleted
docs/figures/state_pipeline_tutorial.png,file,tracked (locally deleted),documentation figure asset or figure metadata,"Tracked Artifact, Not Source",docs/README and package docs embed these figures,either keep and restore consistently or remove figure references everywhere,medium,working tree deleted
docs/figures/visibility_capture_tutorial.png,file,tracked (locally deleted),documentation figure asset or figure metadata,"Tracked Artifact, Not Source",docs/README and package docs embed these figures,either keep and restore consistently or remove figure references everywhere,medium,working tree deleted
docs/limitations.md,file,tracked,"claim guardrails for slides, README, and paper",Paper-Core,"limitations doc aligns with thesis caveats (hybrid state, baseline honesty, ET1 focus)",keep,medium,
docs/perception_cleanup_audit.md,file,tracked,older internal cleanup note for perception path,Possibly Irrelevant,"superseded by this broader repo audit, though still informative",merge key findings then archive/remove,low,
docs/perception_to_visibility_comparison.md,file,tracked,broader multi-method comparison framework document,Docs Drift / Story Drift,"current paper uses yolo_score_raw only, while this doc centers a wider red/oracle/multi-method backbone",move to future-work/appendix or retarget to current milestone,medium,
docs/perception_training_and_inference.md,file,tracked,optional detector-preparation guide,Possibly Irrelevant,supports retraining/sanity checks but not current paper claim or runtime explanation,keep only if you still expect retraining from this repo,medium,
docs/perception_visibility_cleanup_plan.md,file,tracked,older cleanup plan for the visibility backbone,Docs Drift / Story Drift,contains deferred/active claims that no longer match current repo state,archive or rewrite as historical note,low,
docs/planner_comparison_validation_checklist.md,file,tracked,comparison hygiene checklist for honest claims,Paper-Core but Simplify,supports current milestone evaluation discipline but is not itself core method code,keep,low,
docs/planner_method.md,file,tracked,planner explanation doc intended to mirror core method,Docs Drift / Story Drift,planner_method still shows linear covariance blend and broader retained-planner story than current paper text,update against current implementation and thesis report,high,
docs/runtime_dataflow.md,file,tracked,offline-to-online pipeline explanation,Paper-Core but Simplify,runtime_dataflow largely matches current path but still reserves broader comparison targets,"keep, but narrow to current paper path",medium,
requirements.txt,file,tracked,lightweight Python dependency manifest for non-ROS pieces,Paper-Core,root requirements.txt supports reproducibility for scripts,"keep, but pin versions more tightly if thesis-final",medium,ROS deps still system-managed
scripts/README.md,file,tracked,entry point for offline tooling surface,Paper-Core but Simplify,scripts README describes current backbone but the folder still contains many optional helpers,"keep, but split core vs optional tooling explicitly",medium,
scripts/capture_noise_data.py,file,tracked,"noise-estimation side tool, not part of paper-facing runtime or GP pipeline",Possibly Irrelevant,not named in active README/docs minimum path,move to optional utilities or remove after confirmation,low,
scripts/estimate_noise_from_capture.py,file,tracked,"noise-estimation side tool, not part of paper-facing runtime or GP pipeline",Possibly Irrelevant,not named in active README/docs minimum path,move to optional utilities or remove after confirmation,low,
scripts/evaluate_occlusion_comparison.py,file,tracked,main post-run evaluator for milestone summaries,Paper-Core but Simplify,docs/evaluation_and_plots lists it as core evaluation step,"keep, but narrow outputs to current thesis metrics",medium,
scripts/perception/analyze_dataset_robustness.py,file,tracked,dataset QA helper for training splits and yaw coverage,Possibly Irrelevant,training-support only; not needed to explain current runtime comparison,move under optional training tooling,low,
scripts/perception/capture_external_camera_images.py,file,tracked,"detector-training or data-prep helper, not current paper runtime code",Possibly Irrelevant,supports optional detector preparation rather than the current thesis claim,move to optional training subtree or separate repo if kept,low,
scripts/perception/capture_projected_bbox_dataset.py,file,tracked,"detector-training or data-prep helper, not current paper runtime code",Possibly Irrelevant,supports optional detector preparation rather than the current thesis claim,move to optional training subtree or separate repo if kept,low,
scripts/perception/capture_simseg_dataset.py,file,tracked,"detector-training or data-prep helper, not current paper runtime code",Possibly Irrelevant,supports optional detector preparation rather than the current thesis claim,move to optional training subtree or separate repo if kept,low,
scripts/perception/dataset_split_utils.py,file,tracked,"detector-training or data-prep helper, not current paper runtime code",Possibly Irrelevant,supports optional detector preparation rather than the current thesis claim,move to optional training subtree or separate repo if kept,low,
scripts/perception/drive_robot_pattern.py,file,tracked,"detector-training or data-prep helper, not current paper runtime code",Possibly Irrelevant,supports optional detector preparation rather than the current thesis claim,move to optional training subtree or separate repo if kept,low,
scripts/perception/make_preview_grid.py,file,tracked,"detector-training or data-prep helper, not current paper runtime code",Possibly Irrelevant,supports optional detector preparation rather than the current thesis claim,move to optional training subtree or separate repo if kept,low,
scripts/perception/make_redmask_pseudolabels.py,file,tracked,"detector-training or data-prep helper, not current paper runtime code",Possibly Irrelevant,supports optional detector preparation rather than the current thesis claim,move to optional training subtree or separate repo if kept,low,
scripts/perception/test_yolo_out_of_box.py,file,tracked,quick detector sanity check for local YOLO model,Possibly Irrelevant,perception training doc mentions it; not part of paper method,keep only if local model iteration still happens here,low,
scripts/perception/train_yolo_seg.py,file,tracked,optional YOLO fine-tuning script for detector preparation,Possibly Irrelevant,perception training doc + manifests reference it; runtime paper path does not,keep only if retraining remains in-scope for this repo,medium,
scripts/visibility_comparison/README_EFE_MAIN.md,file,tracked,profile note file that no longer matches the representative logged run defaults,Docs Drift / Story Drift,"path role is optional, deferred, or outdated relative to current paper path",move to optional/legacy bucket unless actively used,low,
scripts/visibility_comparison/README_GP_ARTIFACTS.md,file,tracked,artifact note file with outdated generation path and schema emphasis,Docs Drift / Story Drift,"path role is optional, deferred, or outdated relative to current paper path",move to optional/legacy bucket unless actively used,low,
scripts/visibility_comparison/analyze_gp_capture.py,file,tracked,"support analysis helper, not part of minimum pipeline",Possibly Irrelevant,"path role is optional, deferred, or outdated relative to current paper path",move to optional/legacy bucket unless actively used,low,
scripts/visibility_comparison/build_gp_targets.py,file,tracked,planner-facing GP target builder used by current artifact path,Paper-Core but Simplify,active docs + current GP pipeline + representative run all touch this backbone,keep; trim non-current method branches where possible,medium,
scripts/visibility_comparison/capture_visibility_samples.py,file,tracked,offline canonical capture for current GP backbone,Paper-Core,active docs + current GP pipeline + representative run all touch this backbone,keep; trim non-current method branches where possible,medium,
scripts/visibility_comparison/common.py,file,tracked,shared constants and path/schema contract for comparison scripts,Paper-Core,active docs + current GP pipeline + representative run all touch this backbone,keep; trim non-current method branches where possible,medium,
scripts/visibility_comparison/compute_area_reference.py,file,tracked,"supports deferred red-area-corrected target, not current yolo_score_raw paper path",Possibly Irrelevant,"path role is optional, deferred, or outdated relative to current paper path",move to optional/legacy bucket unless actively used,low,
scripts/visibility_comparison/extract_perception_targets.py,file,tracked,shared target extraction feeding current GP backbone,Paper-Core but Simplify,active docs + current GP pipeline + representative run all touch this backbone,keep; trim non-current method branches where possible,medium,
scripts/visibility_comparison/fit_visibility_gps.py,file,tracked,current GP fitter for planner-compatible artifacts,Paper-Core but Simplify,active docs + current GP pipeline + representative run all touch this backbone,keep; trim non-current method branches where possible,medium,
scripts/visibility_comparison/make_run_diagnostic_video.py,file,tracked,"optional presentation/debug output, not core paper evidence",Possibly Irrelevant,"path role is optional, deferred, or outdated relative to current paper path",move to optional/legacy bucket unless actively used,low,
scripts/visibility_comparison/make_visibility_comparison_report.py,file,tracked,report assembly for the current comparison surface,Paper-Core but Simplify,active docs + current GP pipeline + representative run all touch this backbone,keep; trim non-current method branches where possible,medium,
scripts/visibility_comparison/plot_gp_and_ambiguity_maps.py,file,tracked,main GP and ambiguity visualization for current method,Paper-Core,active docs + current GP pipeline + representative run all touch this backbone,keep; trim non-current method branches where possible,medium,
scripts/visibility_comparison/plot_planned_paths.py,file,tracked,main trajectory-over-field visualization for current method,Paper-Core,active docs + current GP pipeline + representative run all touch this backbone,keep; trim non-current method branches where possible,medium,
scripts/visibility_comparison/plot_yolo_calibration.py,file,tracked,calibration/diagnostic step for YOLO raw scores,Paper-Core,active docs + current GP pipeline + representative run all touch this backbone,keep; trim non-current method branches where possible,medium,
scripts/visibility_comparison/probe_rollout_families.py,file,tracked,deep rollout-diagnostic tool well beyond current paper narrative,Overkill / Unnecessarily Complicated,script surface exceeds current thesis scope (yolo_score_raw vs baseline),keep only if you still use these diagnostics; otherwise archive,low,
scripts/visibility_comparison/run_efe_precision_sweep.py,file,tracked,secondary diagnostic sweep for profile tuning and retained baselines,Overkill / Unnecessarily Complicated,script surface exceeds current thesis scope (yolo_score_raw vs baseline),keep only if you still use these diagnostics; otherwise archive,low,
scripts/visibility_comparison/run_planner_comparison.py,file,tracked,broader run orchestrator spanning multiple methods/backends beyond current paper path,Overkill / Unnecessarily Complicated,script surface exceeds current thesis scope (yolo_score_raw vs baseline),keep only if you still use these diagnostics; otherwise archive,low,
scripts/visibility_comparison/run_planner_method_sweep.py,file,tracked,method sweep runner for many target families/backends beyond current paper path,Overkill / Unnecessarily Complicated,script surface exceeds current thesis scope (yolo_score_raw vs baseline),keep only if you still use these diagnostics; otherwise archive,low,
scripts/visibility_comparison/validate_comparison_integrity.py,file,tracked,consistency checker for multi-run comparison outputs,Paper-Core but Simplify,active docs + current GP pipeline + representative run all touch this backbone,keep; trim non-current method branches where possible,medium,
scripts/visibility_comparison/yolo_calibration_utils.py,file,tracked,shared helper for calibration support code,Possibly Irrelevant,"path role is optional, deferred, or outdated relative to current paper path",move to optional/legacy bucket unless actively used,low,
src/experiments/README.md,file,tracked,package guide for current experiment surface,Paper-Core,experiments README aligns with active launch and config surface,keep,medium,
src/experiments/config/README.md,file,tracked,config-surface explanation for worlds/tasks,Paper-Core,config README matches the narrow benchmark-story intent,keep,medium,
src/experiments/config/tasks.yaml,file,tracked (locally modified),active benchmark task definition,Paper-Core but Simplify,"tasks.yaml is source-of-truth for launch surface, but current working copy diverges from representative paper run snapshot","keep, but reconcile with current thesis text/run evidence",high,working tree modified
src/experiments/config/world_profiles.yaml,file,tracked,world/camera/default-artifact registry for launches and capture,Paper-Core but Simplify,"launches depend on it, but packaged artifact defaults and GP hyperparams are legacy vs current logs/current_gp","keep, but update defaults to current canonical artifact story",high,
src/experiments/data/perception_models/README.md,file,tracked,documentation for packaged trained detector artifacts,"Tracked Artifact, Not Source","data/perception_models is artifact storage, not method source",keep only if you intentionally version trained models here,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/confusion_matrix.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/labels.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/manifest.json,file,tracked,provenance metadata for packaged detector artifact,"Tracked Artifact, Not Source","artifact manifest useful for provenance, but runtime currently defaults to logs/perception_models model path",keep only with one canonical packaged model if versioning artifacts,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/results.csv,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/results.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/BoxF1_curve.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/BoxPR_curve.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/BoxP_curve.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/BoxR_curve.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/MaskF1_curve.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/MaskPR_curve.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/MaskP_curve.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/MaskR_curve.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/args.yaml,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/confusion_matrix.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/confusion_matrix_normalized.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/labels.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/results.csv,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/results.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/train_batch0.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/train_batch1.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/train_batch2.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/val_batch0_labels.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/val_batch0_pred.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/val_batch1_labels.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/val_batch1_pred.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/val_batch2_labels.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke/ultralytics_run/val_batch2_pred.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/confusion_matrix.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/labels.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/manifest.json,file,tracked,provenance metadata for packaged detector artifact,"Tracked Artifact, Not Source","artifact manifest useful for provenance, but runtime currently defaults to logs/perception_models model path",keep only with one canonical packaged model if versioning artifacts,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/results.csv,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/results.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/BoxF1_curve.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/BoxPR_curve.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/BoxP_curve.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/BoxR_curve.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/MaskF1_curve.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/MaskPR_curve.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/MaskP_curve.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/MaskR_curve.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/args.yaml,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/confusion_matrix.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/confusion_matrix_normalized.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
