ID	Scenario	Expected invariant	Evidence and test command	Actual result	Responsible module	Severity	Required repair or explicit accepted limitation
M16	S5,S8,S9	Plan acceptance and ongoing execution revalidate belief, goal, epoch and age	C2 commands.json local_correction/local_goal/local_delay; 02:T02-07; 03:C03-04,C03-05	PARTIAL after owner repair: direct and LOCAL tape installs enforce finite nonnegative computation age against the actual safe-prefix duration under the install lock. GLOBAL route installation bypasses that gate; belief/goal/epoch revisions are still not revalidated	03 execution; 02 snapshot; 08/09 planner/tracker	P1/P2	Retain the shared age gate and request context. Add bounded belief/goal/epoch revision policy without invalidating every plan on benign camera updates; log the decision.
M17	S6,S8,S9	Command validity and silence stop reach the final actuator owner	C1 watchdog; C2 commands.json adapter_silence/restart/backlog/reset and tape_to_adapter_expiry; 03:C03-02,C03-03,C03-08	PARTIAL/FAIL: healthy adapter requests zero after receipt silence, but restart emits none and old Twist resumes output after zero. 0.25 s tape expires at 0.30 s timer tick; downstream physical stop unproven	03 actuation; 14 final actuator; 13 lifecycle	P1 gate / stated timing limit	Epoch/sequence/valid-until command envelope and downstream watchdog; startup/teardown stop confirmation. State timer quantization and clock-health assumptions. Never equate output command with applied velocity.
M18	S1,S5,S8	Executed controls obey the same declared envelope as predictions	C1 corner_speed/runtime/watchdog tests; C2 adapter_clip; 03:C03-09	PASS selected 0..0.22 m/s and ±1 rad/s. Conditional FAIL: missing rollout fields/oversized synthetic controls accepted before adapter clipping; custom bounds not shared everywhere	03 execution; 08/09 producers; 13 config	P2 conditional	One validated limit source and required typed producer evidence. Acceleration/jerk, deadband and motion-model changes are separate experiments; none is currently promised.
M19	S1,S5,S6	Equal nuisance seed claims include the actual disturbance schedule	03:C03-07 cadence probes; 01 policy discussion	POLICY LIMIT: immediate+periodic publication advances noise per message; duplicates change the time-indexed realization	03 noise; 11 statistics; 13 manifests	P2 experimental limit	Freeze/document existing schedule and record deliveries. Fixed-time noise and one periodic publisher must be a separately frozen execution experiment, not bundled as a camera gain.
M20	S1,S4,S10	Logged diagnostics belong to the exact update/command they describe	C2 q_diagnostic, same_clock_batches; 01:R07,R08; 03:C03-06; 06:D07,D11; 07:F02; 10:L10-04,L10-08	FAIL: recomputed Q differs from applied Q; no full posterior/revision; fusion rows dedup by receipt time; mixed raw/adapter diagnostic events; optional reanchor ledger disagrees with numeric rejected flag	10 logger with 01 transaction and 03 commands	P1/P2	Immutable update record containing actual prior/posterior/Q/support/revision; identity-keyed event logging; paired command fields retain their own times. New EFE idle diagnostic repair is scoped pass.
M21	S4,S10	Loader enforces complete known reasoned terminal accounting and selects the committed posterior	C2 alignment.json, premature_event_belief; 01:R04; 06:D11; 07:F02; 10:L10-06; 11:A11-01	FAIL: parser accepts extra/unknown/unreasoned rows; event helper catches duplicate/empty ledger but silently ignores other violations and can select pre-apply prediction	11 alignment; 10 event schema	P1	Central strict run validator then score committed event m/P/revision at state time. Retain reasoned drops as valid refusals, exclude them from accepted-update beliefs. Periodic belief is a separate quantity.
M22	S2,S7	Supported outage return and rejection recovery have declared semantics	C2 event_stream.json and policy.json; 06:P01,P02; 01 policy example	POLICY LIMIT: exact blind turn preserved with complete history; first return still dropped by 1.5 s rule, next accepted. Ten unchanged outliers eventually admitted after repeated inflation; valid recovery after rejections also passes	06 policy; 01 recursion	P1 policy gate	Keep first-return refusal/inflation explicit in baseline. Test support-based admission and bounded recovery separately with fixed mean/R/Q and positive/negative recovery evidence.
M23	S3,S6,S7	Missing camera evidence, missing motion support and prior-induced rejection remain distinct	C2 policy.json; 06:P03,P05,D02	FAIL semantics/POLICY: wrong point prior rejects useful perfect box; stale unmatched belief history blocks quorum; covariance is ignored; filter cannot recover from evidence that never reaches it	06 admission; 02 belief support; 10 reasons	P1	Always validate sensor-only support and log refusal stage. Uncertainty-aware admission/relocalization needs its own policy experiment; no blanket gate relaxation or truth input.
M24	S1,S4,S7	Optional direct/pixel modes obey their own causal identity and recovery contracts before activation	C2 quorum_information_reuse, per_camera_nonrejection_inflation, almost_simultaneous_camera, pixel_refusal_freezes_anchor, duplicate_pixel; C4 direct probe; 01:R11,R12,R13,R14; 02:T02-11; 04:F07; 06:D03,D04,D05,D07,P04; 07:F03	OPTIONAL FAIL: stale/reused or one-camera quorum, inflation on bootstrap/drop, 0.5 ms newer camera rejected, foreign frame/ID loss, pixel old-stamp/new-value and duplicates; optional detector silence/reinference	01 receiver; 04 detector; 06 recovery; 07 transport	P1 if enabled	Keep disabled in accepted fused baseline. Validate immutable identity/frame/time before mutation; typed per-camera outcomes, consume quorum once, match gate stream before robust/direct comparison.
M25	S1,S4	Optional covariance utilities preserve quantity, uniqueness and scale semantics	C3 geometry; C4 fusion; 01:R10; 05:G03,G04,G05,G06,G07; 07:F04-F08,F10	PARTIAL current repair: later fusion-contract packet passes identity/type/unit/tie/sequential-precision/duplicate/conditioning checks. Posterior-floor semantics, model provenance, optional geometry and coherent-distance reset remain unsupported or policy choices	05 geometry; 07 fusion; 01 process model	P2; P1 if relied upon	Retain later fusion regressions. Keep optional geometry/GP/direct paths disabled; choose posterior floor/persistent-bias semantics as an isolated model decision and revalidate end to end.
M26	S1,S4	Robust solver reports convergence and provenance metadata is validated	C4 IRLS_iteration_cap and malformed envelope; 07:F09,F10; 06:D08,D09	FAIL conditional: IRLS cap returns no convergence flag; schema bool/member/common-time inconsistency accepted; min-one bootstrap setting ineffective; future stamp may anchor ahead of receipt	07 fusion; 01 envelope; 13 config	P2/P3	Log terminal convergence; strict types, unique members and finite ordered times; reject unsupported config or implement it explicitly. Defer unsupported future events rather than call them current.
M27	S9	Clock reset invalidates every old-epoch belief, buffer, readiness and pending computation	C2 backward_reset_keeps_epoch_state, camera_batch_reset, commands.json reset; 02:T02-04,T02-10; 04:F04; 03:C03-02	FAIL in-place reset: planner turns future-age failure into age zero; old IDs/buffers survive; detector locks out. Negative tape-age repair covers only already installed tape	02 epoch; 04 camera; 03 command; 09 mission; 13/14 supervisor	P1 conditional	Use a coordinated fresh-process restart with confirmed stop and new epoch, or implement complete epoch transaction. Baseline reset_world=false is an explicit restricted scope, not proof of reset safety.
M28	S8,S9	Mission readiness and goal progression require valid same-frame same-epoch fresh belief	C2 mission_clock_and_readiness; 02:T02-10	FAIL consumer: invalid covariance leaves cached ready; stale/wrong-frame pose can advance optional multi-goal mission. System-stamped goals are not subtracted from ROS time in active consumers	09 mission; 02 belief validity	P1/P2 conditional	Validated belief snapshot with age/frame/epoch; clear readiness on invalid input. Wall startup delay may remain explicit; do not invent a cross-clock comparison bug.
M29	S10	Orderly shutdown closes all buffered files even if one close fails	C2 shutdown.json; actual ExperimentLogger.destroy_node	PASS ordinary six-handle close. FAIL injected first-handle OSError leaves subsequent buffers unclosed although base destructor runs; synthetic buffers measured before harness cleanup	10 logging	P1/P2 shutdown	Independent best-effort close/flush in finally, aggregate failure status. This probe does not establish drain of ROS queues, fsync durability, power-loss recovery or physical stopping.
M30	S5,S8	Only a finite, explicitly feasible and complete global route enters LOCAL; every added segment is covered	C08 incomplete_real_solve_handoff/global_handoff_invalid/nonfinite and current_result_checks; P08-01,P08-02,P08-03	FAIL current: real short solve ends 1.89 m short; handoff appends goal and enters LOCAL. Invalid/NaN route enters LOCAL. Slow GLOBAL work installs a route after stop, backward clock, belief, goal or config change because route installation bypasses the tape stop/age transaction	08 route producer/validator; 09 handoff; 03 ownership	P1	One typed global result/request gate before phase/route mutation: finite completion and start/goal/config/belief/epoch/stop identity, with validated appended connections. Preserve valid iteration-limit candidates; optimizer convergence is a different fact.
M31	S1,S5,S8	Numerical geometry and objective checks certify their stated domain	C08 nonfinite candidate/P/geometry, swept-disc and singular-chart cases; P08-03,P08-08,P08-09	FAIL conditional: NaN objective can win, indefinite P and malformed geometry pass; start footprint omitted, submillimetre grazing collision escapes 5 cm samples; chart singular handling differs	08 planner validation; 09 final polyline; 05 chart	P2; P1 if invalid output used	Finite/SPD/model-domain validation, fail-closed invalid maps, start and exact swept-segment check or conservative bound. A new chance constraint or world-coordinate objective remains a model experiment.
M32	S1,S5,S9	Planner arrays/cache/roster represent the same frozen model as numerical evaluation and runtime sensors	C08 roster mutation/cache/array/alias/coherent drift; P08-04,P08-07; C12-07	BASELINE FAIL conditional: A/B runtime still credits A-E; cache omits Q/chart, writable arrays split NumPy/symbolic behavior, result aliases warm start. Fresh selected five-camera arms have no observed cache leak. Later cache repair requires scoped revalidation	08 model/cache; 13 launch identity; 12 artifacts	P2	Bind declared roster and complete immutable model/config digest; make arrays/results owned; revalidate later cache keys. Coherent drift remains disabled until both models agree.
M33	S1,S2,S3,S7	Future diagnostics keep prescribed motion and reference instants fixed when varying observations	C08 future_cadence_changes_prescribed_motion and neighbor support; P08-05,P08-10; C11 A11-09	FAIL diagnostic: no-camera cadence change causes 17.6 cm/0.8 rad endpoint difference; nearest-only distance hides 11 remote contributors; next trace sample is relabelled as requested start; replay holds arbitrary motion gaps	08 forecast diagnostic; 11 replay/alignment	P1 for forecast comparison; P2 code	One timestamped motion/grid support contract across all arms, actual anchor/endpoint stamps and contributor-distance metadata. Neighbor weighting/radius and missing-motion policy must be declared separately; refreeze outputs.
M34	S1,S4,S7	Planner score, q, R, P and forecast statements retain their distinct mathematical meanings	C08 q-only metamorphic, motion-only recursion, 1/2/5-camera endpoints; P08 model limits; C07 formulas; C12 dataset limits	PASS stated proxy equations; LIMIT: active objective ignores q, carries motion-only P and conditional observation entropy. Independent forecast gives R/N for agreeing cameras; robust runtime gives R. q is pre-admission raw-valid detection, not operational acceptance	08 objective/forecast; 07 fusion; 06 availability; 12 calibration	Claim gate / explicit model limitation	Keep the score-precision proxy label. Calibrate deployed event/fusion/arrival/admission/dependence before any expected posterior claim; no blanket N rescaling. Five-point XY/heading marginalization, finite miss endpoint, Euler/frozen-heading Q and branch compression remain stated approximations.
M35	S1,S5	Optional objective branches optimize and select with one defined function	C08 outside-grid and legacy mixture cases; P08-06	OPTIONAL FAIL: legacy NumPy outside value .0001 vs symbolic .8; mixture optimizes -1.792463 while selector uses 6.480148	08 optional planner	P2 / disabled	Keep network-plus-mixture rejected. Unify optional numerical/symbolic domain and objective selection before enabling; recursive q/R planning is a separate method.
M36	S4,S6,S10	Raw publication and terminal ledgers determine validity consistently before reference scoring	C10 logging_faults and seven-publication mini-run; L10-01,L10-03,L10-05,L10-10; C11 A11-02	FAIL: mini-run seven publications, five written terminals, summary valid=true; duplicates/malformed deliveries erased; unknown status/flag/time contradictions accepted by different consumers. Truth-unscoreable final event falsely called extra assimilation by selector	10 ledger; 01 commit; 07 publication; 11/13 common validator	P1	Append raw deliveries/faults plus canonical immutable outcomes; validate raw IDs/status/reason/flag/times once before truth filtering. Preserve reasoned refusals and unscoreable tails as separate categories.
M37	S8,S10	Final summary describes a drained closed interval and can recover from write failure	C10 post_summary_tail/summary_write_failure/headers_at_finish; L10-02; C2 shutdown.json	FAIL: summary count 1 while final CSV count 2; empty summary after OSError leaves completed latch and prevents retry; some headers unflushed at summary. Normal destructor flush does not repair the already-written summary	10 finalization; 03 stop; 09 terminal mission; 13 freeze	P1	Stop request -> producers quiesced -> explicit drain/cutoff -> independent closes -> atomic summary commit. Set finalized only after commit; retain incomplete/failure state. An arbitrary longer sleep is insufficient.
M38	S1,S4,S10	Malformed raw observation cannot claim a successfully written row or poison retry identity	C10 opportunity_nonfinite; L10-07,L10-10	FAIL conditional: writer increments rows/seen, then NaN serialization raises; zero rows written and corrected retry called duplicate. Narrow valid_contract also accepts unsupported camera schema	10 raw opportunity writer; 04 shared schema	P2	Retain raw bytes and reason, validate shared named schema, serialize before successful row/seen commit; separately record I/O failures and duplicates.
M39	S1,S2,S6,S7,S8	Summary error and gap labels state their population, clock and window endpoints	C10 held_and_diagnostics and gap fixture; L10-09; C11 A11-07,A11-13	FAIL labels: held errors yield tick-weighted 80 cm vs unique-state 50 cm; terminal-stamp gap 1 s hides accepted gap 4 s and trailing absence 5 s. Monitor refused field includes only dropped, not rejected	10 summary; 11 metrics/monitor	P2 / claim gate	Keep tick and unique-event statistics separate with counts; define capture/state/apply-time accepted-update gaps and initial/final endpoints. Do not reinterpret old fields as independent detections or seed replicates.
M40	S4,S9,S10	Offline identity selection is independent of row order and does not merge epochs	C11 conflicting camera/fused payload, landed_mask/reset/yaw/buffered reference cases; A11-03,A11-04	FAIL: reversing conflicting rows changes score; distinct IDs collapse by rounded stamp; reset interpolation bridges epochs; NaN yaw poisons later unwrap; promised buffered reference preference absent. Ten-second interpolation has no support gate	11 alignment; 10 full-rate reference; 02/14 epochs	P1	Validate canonical event/revision IDs and agreeing copies before score selection; reject conflicting ties/epochs, finite-segment heading and explicit bracket support. Choose any numeric truth-gap threshold explicitly, not retroactively.
M41	S1-S10	Selection and caches bind exact run keys, files, executed inputs and controlled treatment differences	C11 selection/provenance/cache cases; A11-05,A11-06,A11-11; C10 L10-12	FAIL conditional: missing provenance homogeneous as None; duplicate run copies and mismatched task/seed can pass consumers; empty file hashes accepted; cached old result returned before new inputs validated then stamped with new source	11 analysis/cache; 13 runner/provenance	P1	One exact run-set validator, required digest closure and unique key/path product; allow only declared arm differences. Validate analysis fingerprint before cache return and preserve producer source; new outputs for incompatible identity.
M42	S1-S10	Reports aggregate within runs before across unique declared seeds and disclose failures/eligibility	C11 aggregate and monitor synthetic campaigns; A11-07,A11-08,A11-13	FAIL reporting: first-run duration/outcome/gaps survive aggregate, hard-coded five seeds and bins1-4 mislabel eligibility, retries count as seeds, task names collapse to fusion, no-summary attempts vanish. Existing per-run median hierarchy and GT field repair pass	11 reporting/monitor; 13 attempts; 10 metric definitions	P2 / evidence gate	Construct aggregate schema afresh; validated full task/condition/seed/attempt identities and per-metric/bin n; generated captions including camera E; retain failed/unscoreable attempts and reasons. Never pool time samples as replicates.
M43	S4,S10	Every figure/CLI uses the declared quantity, source time, task and evidence boundary	C11 storyline and CLI cases; A11-09,A11-10,A11-11	FAIL optional/historical: storyline gives 20 cm for exact fused point by using camera time; score typo runs all routes and exits0 on refusal; custom config protocol still traverse/seed210. Legacy replay globs, GT-initializes and collapses camera events	11 figure/scorer/replay; 13 protocol	P2; historical paths quarantined	Use shared typed events/selection, strict CLI failure and derived task/seed/goal metadata. Preserve capture-time idealization labels; quarantine old 2D GT-initialized replay, do not call it deployed causal replay.
M44	S1,S3,S7,S10	Covariance/probability scores validate their domain and disclose denominators	C11 negative_definite_covariance and invalid probability probes; A11-12,A11-14	FAIL conditional: -I gives NEES -1 and apparent100% coverage; asymmetric covariance accepted; NaN AP can hang, entirely invalid ECE gives0. Valid SPD formula and stronger full-pose guard pass	11 metric utilities	P2; P3 unused AP	Finite/symmetric/SPD covariance and probability shape/range validation with reasoned unavailable scores; no clipping into plausible coverage. Preserve planar/full-pose dimensions and no replicate CI for one run.
M45	S1,S4,S9	New commissioning capture/resume proves fresh coherent command-relative acquisition	C12 capture_resume and old-frame cases; C12-01,C12-02	FAIL capture pipeline: actual resume bypasses preflight, accepts duplicate/missing/mixed/changed inputs; repeated old frame99 accepted after command100 and next pose. Timestamp window can mix poses	12 capture; 04 epochs; 05/14 physical reference	P1 before new commissioning	Mandatory writer transaction validator, append-only attempts, exact plan/config/source match, command/ack and simulation-time settle barrier, new source identities and measured stationary reference. Frozen v1 cannot acquire missing provenance after repair.
M46	S1,S4,S6,S10	Capture -> inference -> interpretation preserves actual pixels and all attempted exposure stages	C12 changed-image/upstream digest/capture-failure cases; C12-03,C12-04; full pixel verification	FAIL boundary on mutation: current image inferred under old claimed hash; changed boxes accepted upstream. Failed acquisitions omitted, genuine misses retained. PASS frozen corpus:7138 unique images verified;15440 views=6412 hits+9028 misses, no failed batches	12 capture/export; 04 detector; 13 identity	P1 boundary; P2 denominator	Hash exact decoded inference input and validate upstream content/cardinality before export; separate acquisition failure, miss, interpretation rejection and admitted event. Keep frozen pixels/model unchanged.
M47	S10	Image conversion and provisional completion remain recoverable and verify cardinality	C12 conversion interruption/short backend cases; C12-05,C12-10	OPTIONAL FAIL: second conversion failure leaves index naming deleted PNG; one result for two inputs still seals provisional dataset, trainer trusts .complete without digest verification	12 storage/dataset tooling	P2	Journal encode/verify/index switch/delete; exact per-call count and output digest verification before seal/train. Pixel-residual family stays outside active NN and must require operational heading rather than default truth yaw.
M48	S1,S7	Mean/R/q artifacts have complete semantics and honest fit/support independence	C12 artifact mutation/sparse OOF/sample roles; C12-06,C12-07 and dataset limitations1-9; C05 geometry	PARTIAL: frozen NN/reference numerical equality passes; exact NN hash bound. Loader ignores target/geometry/source gaps; sparse OOF falls back in-sample (inactive path). One static repeat and inspected spatial holdouts do not calibrate operational temporal/cross-camera R or q	12 commissioning/model lineage; 05 projection; 08 forecast; 13 artifact contract	P1 claim gate; P2 conditional	Validate supported camera/target/geometry and source-data roles, include selection scale/shrinkage metadata; refuse false OOF. New independently frozen repeats/negatives/routes/installation evidence precedes richer models or calibration claims.
M49	S1,S4,S7	Auxiliary operational export/residual inputs are causal, unique and use h(mu) separately from its Jacobian	C12 operational exporter/residual cases; C12-08,C12-09	OPTIONAL FAIL: later belief chosen, duplicate detection retained, reception assumed, unknown yaw0; residual uses H*mu so exact affine observation has [640,360]px false residual; duplicate evidence changes shrinkage	12 auxiliary operational export; 11 event alignment	P2 / inactive	Manifest-bound IDs and pre-event operational snapshots; explicit missingness/heading, separate h and H, verified held-out reference provenance. Keep legacy/provisional outputs out of current calibrated evidence.
M50	S5,S8	Clearance validation is global, finite and applied to the complete executed route without cumulative tolerance	C09 cumulative recovery/NaN clearance and corrected ideal replay; T09-01,T09-06; C14 prop_geometry_results	FAIL: 5 mm per-replan allowance accumulates to 132.859 mm penetration and NaN clearance passes. Original waypoint thinning loses corners; dense historical replay is a policy alternative, not repaired runtime. Included pallet-jack collision is absent from planner geometry	09 tracker/clearance; 08 route geometry; 14 world export	P1	Exact world-bound swept-body check on every installed segment; finite clearance and no cumulative exception. Treat waypoint/tolerance/controller changes as isolated policy experiments.
M51	S5,S8,S9	Goal/waypoint/stuck decisions use one valid current belief, goal, route revision and phase	C09 operational belief/goal/stuck fixtures; T09-02,T09-03,T09-07,T09-09	FAIL: stale, wrong-frame or invalid belief advances mission; <=1 m goal changes and ordinary stop context can reuse old work; stuck ignores heading/phase and system-time goal metadata is mixed with ROS time	09 mission/tracker; 02 snapshot; 03 installation	P1	Typed mission snapshot/revision with frame, epoch, belief validity, goal and route; invalidate holds and stuck windows on phase/revision changes. Record clocks separately.
M52	S8	Terminal mission status follows an acknowledged physical stop and is separate from pose/heading/contact facts	C09 selected P2 terminal trace and goal/heading/contact probes; T09-04,T09-08; C14 watchdog/contact probes	FAIL: P2 summary says goal while last command still has angular z=-0.9665 rad/s; no downstream zero/application proof. Contact silence is also used as if it meant clear	09 terminal mission; 03 command owner; 14 actuator/contact; 10 summary	P0	Terminal protocol: decide -> stop generation -> downstream zero/application acknowledgment -> settled odometry -> contact status -> drain -> final mission outcome. Keep position, heading, stop and contact fields separate.
M53	S5,S8	Global-to-local route and final approach use consistent corner preservation and declared tolerances	C09 route extraction/final approach probes; T09-05,T09-06,T09-10	FAIL: invalid global handoff can reach local; corner-removing spacing and 0.05/0.10/0.35 m controller/waypoint/success radii describe different events. Zero-centred corridors are omitted by optional parsing	09 tracker/route; 08 global planner; 13 config	P1/P2	Validate complete route before local handoff; declare distinct tolerances and their ownership. Fix parsing mechanically; evaluate waypoint/controller changes separately.
M54	S1-S10	Every attempt has a unique durable identity; summaries cannot be borrowed from another attempt	C13 failed/retry/resume/duplicate-run probes; C13-01,C13-02,C13-09,C13-10,C13-11	FAIL: a failed new attempt can select an old summary; fresh/resume checks fail open on invalid/incomplete/wrong cells; concurrent ledger update can be lost; same-second/basename collisions and duplicate seeds are accepted; next stage may launch after failure	13 campaign runner/ledger; 10 summary; 11 selector	P1	Allocate attempt ID/output atomically before spawn, append immutable status transitions, validate exact cell/seed/config/source, and launch dependent stages only from explicit success. Never relabel old attempts.
M55	S6,S9,S10	Isolation and cleanup act only on owned resources and hold an exclusive lease	C13 cleanup/domain/root probes; C13-03,C13-11; C14 S14-11	FAIL: legacy global process cleanup remains available; isolated tokens do not prove exclusive ROS domain/output-root ownership and recorder/spawn failures can escape finalization	13 orchestration	P0 for any new simulator run	Per-attempt process group, ROS domain, Gazebo partition and output-root lease; finally-owned teardown and zero. Remove global cleanup from accepted protocol.
M56	S1-S10	Resolved configuration has one typed schema and the manifest records the values actually forwarded	C13 precedence/unknown-key/manifest probes; C13-04,C13-05,C13-06,C13-12	FAIL: runner/launch precedence diverges; some validated profile/task values are not forwarded; unknown/duplicate/quoted-boolean/zero-default values pass; manifest producer/checker disagree and clocks/budgets are incomplete	13 configuration/provenance; each parameter owner	P1	One strict typed resolved-config object consumed by launch and manifest; reject unknown/duplicate keys and record origins, time bases, budgets and every active value. Owner modules approve their fields.
